cod_mpio,ano,mes,municipio,casos_total,casos_regular,casos_grave,hospitalizaciones,fallecidos,dpto_clima,temperatura_c,precipitacion_mm,ndvi,dewpoint_c,poblacion,incidencia_x100k,temperatura_c_lag1,temperatura_c_lag2,temperatura_c_lag3,temperatura_c_mm3,precipitacion_mm_lag1,precipitacion_mm_lag2,precipitacion_mm_lag3,precipitacion_mm_mm3,ndvi_lag1,ndvi_lag2,ndvi_lag3,ndvi_mm3,dewpoint_c_lag1,dewpoint_c_lag2,dewpoint_c_lag3,dewpoint_c_mm3,casos_total_lag1,casos_total_lag2,casos_total_lag3,casos_total_mm3,incidencia_x100k_lag1,incidencia_x100k_lag2,incidencia_x100k_lag3,incidencia_x100k_mm3,umbral_exceso,exceso
23855,2007,1,Valencia,0,0,0,0,0,CORDOBA,30.69,14.53,0.6397,22.99,31902.0,0.0,,,,30.69,,,,14.53,,,,0.6397,,,,22.99,,,,0.0,,,,0.0,,
23855,2007,2,Valencia,0,0,0,0,0,CORDOBA,33.18,13.43,0.5492,21.26,31902.0,0.0,30.69,,,31.935000000000002,14.53,,,13.98,0.6397,,,0.59445,22.99,,,22.125,0.0,,,0.0,0.0,,,0.0,,
23855,2007,3,Valencia,0,0,0,0,0,CORDOBA,33.85,95.67,0.4166,22.62,31902.0,0.0,33.18,30.69,,32.57333333333333,13.43,14.53,,41.21,0.5492,0.6397,,0.5351666666666667,21.26,22.99,,22.290000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,
23855,2007,4,Valencia,0,0,0,0,0,CORDOBA,31.04,231.77,0.5562,23.4,31902.0,0.0,33.85,33.18,30.69,32.69,95.67,13.43,14.53,113.62333333333333,0.4166,0.5492,0.6397,0.5073333333333334,22.62,21.26,22.99,22.426666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23855,2007,5,Valencia,0,0,0,0,0,CORDOBA,29.12,310.08,0.5884,23.51,31902.0,0.0,31.04,33.85,33.18,31.336666666666662,231.77,95.67,13.43,212.50666666666666,0.5562,0.4166,0.5492,0.5204000000000001,23.4,22.62,21.26,23.176666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23855,2007,6,Valencia,0,0,0,0,0,CORDOBA,28.68,320.87,0.7231,23.35,31902.0,0.0,29.12,31.04,33.85,29.61333333333333,310.08,231.77,95.67,287.5733333333333,0.5884,0.5562,0.4166,0.6225666666666667,23.51,23.4,22.62,23.419999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23855,2007,7,Valencia,0,0,0,0,0,CORDOBA,28.44,271.19,0.6734,23.2,31902.0,0.0,28.68,29.12,31.04,28.746666666666666,320.87,310.08,231.77,300.71333333333337,0.7231,0.5884,0.5562,0.6616333333333334,23.35,23.51,23.4,23.353333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23855,2007,8,Valencia,0,0,0,0,0,CORDOBA,29.17,365.44,0.6849,22.97,31902.0,0.0,28.44,28.68,29.12,28.763333333333332,271.19,320.87,310.08,319.1666666666667,0.6734,0.7231,0.5884,0.6938,23.2,23.35,23.51,23.173333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23855,2007,9,Valencia,0,0,0,0,0,CORDOBA,29.53,275.85,0.7157,23.03,31902.0,0.0,29.17,28.44,28.68,29.046666666666667,365.44,271.19,320.87,304.16,0.6849,0.6734,0.7231,0.6913333333333332,22.97,23.2,23.35,23.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23855,2007,10,Valencia,0,0,0,0,0,CORDOBA,27.8,274.54,0.7135,22.75,31902.0,0.0,29.53,29.17,28.44,28.833333333333332,275.85,365.44,271.19,305.2766666666667,0.7157,0.6849,0.6734,0.7046999999999999,23.03,22.97,23.2,22.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
